Age,Footspan
17,24
17,27
17,20
16,23.8
15,26
17,NA
17,23
16,22
15,27.9
15,30
18,28
17,29
17,28
17,NA
16,NA
16,23
17,25
15,22.86
16,28
17,30
16,29
17,26
17,24
17,21
15,22
15,24
14,25
18,28
16,32
17,24.5
16,NA
15,26
17,25
16,28
14,21
14,23
15,23.5
17,23
NA,NA
16,22.5
17,18
15,21.6
15,22
17,21.5
17,24
14,24
13,NA
14,20
17,NA
14,25
15,33
16,NA
15,27
16,28
17,26
17,24
17,NA
17,29
18,28.5
17,23.2
16,24
15,27
17,25
15,23
14,23
17,24.2
14,25
16,NA
17,22
15,23
17,27.8
17,23
17,20
17,27
15,23
17,24
15,24
14,22.5
16,27
17,23
16,23
17,22.86
17,23.5
17,23
15,26
17,26
14,26
17,26
18,26
17,22
17,NA
15,23
15,NA
17,27
17,NA
17,15.24
15,22
18,21
15,15
17,24
14,26
17,27
17,25
17,21
15,30
17,22.5
14,21
17,27
15,30
15,27
12,30
16,NA
15,23
15,NA
14,23
18,30
17,31
18,NA
18,22.86
17,26
15,22
15,25.4
15,28.8
15,24
16,NA
15,22.5
15,24
15,20
18,25
15,28
15,22
17,26
15,NA
17,24.13
14,23.5
15,NA
17,22
15,23
18,22.4
17,12
17,23
15,26
15,21
16,22.2
17,36
15,28
17,11.5
17,26
17,25.4
14,24
16,24
14,24.5
17,23.5
17,22
18,23
15,26
15,26
17,24
15,29.94
15,22.5
15,30
18,27.8
17,24
15,NA
17,36
18,24
15,22
17,NA
15,26
14,27
17,24
17,28
15,24.5
15,24
17,21
14,9.6
14,21
17,23
15,24
17,24
14,22
17,25
14,25.4
16,15.24
13,25
17,24
15,23
15,90
14,25.4
15,26
15,23.5
17,23
15,25
15,23.5
17,29.5
18,28
17,24
14,12
16,25
18,27
17,26
17,NA
17,24
18,15
16,22
18,26
17,25.6
17,21
17,28
15,23
15,22
18,22
17,23
15,25
18,25
15,28
14,25
15,27
17,NA
17,25
NA,NA
17,25
14,24
17,23
16,25.5
15,23
15,30
17,24
15,25
17,25
15,21
17,24
17,28
17,24
14,25
15,28
16,24
17,20
18,NA
17,27
17,25
17,24
16,22
17,NA
18,22
15,24
18,27
16,23.8
17,24
17,27.94
13,23.5
17,28
15,25
18,23
17,27
17,23
15,23.5
17,23
NA,NA
15,19
17,25
18,22
16,23
17,24
15,22.5
14,20.9
17,23.5
17,20
17,27
17,22
17,23
14,23
17,28
17,23
15,23
17,27
18,25.9
18,17.78
14,24
17,28
15,25
15,24.5
15,15
17,24
15,30
17,23
17,22
17,25
15,22
17,20
16,26
16,23
18,NA
17,26
15,25
15,23
15,24
14,18
18,28
18,24
15,23
15,26
17,28
17,22
17,21
17,24
17,23.5
16,27
17,24
15,24
18,24
16,7
14,24.3
16,25
15,29
17,23.5
17,NA
17,30
17,24
15,NA
15,23
17,NA
17,25
17,23
17,35
16,27
17,26
15,26
17,25
15,25
17,25
15,25
15,NA
16,23.8
17,25.4
15,NA
16,27
17,26
40,25
17,26
15,23
17,22
17,27
16,20
14,23
18,22.86
15,20
18,24
15,24
15,25
15,NA
15,25
14,17.5
17,27.94
15,23
16,NA
17,28
16,24.13
NA,NA
17,30
15,22
32,26
14,27
15,NA
17,27
17,22
17,27
17,25
14,22
16,23
14,23
18,25
18,NA
32,NA
18,18
15,23.5
17,26.5
17,24
15,25
17,26
17,25
15,20
17,23
17,NA
15,26
15,23
17,27
17,21
17,27
15,13
15,28
14,NA
15,26
15,22
15,NA
15,NA
17,24
17,NA
17,24
16,25
17,NA
17,25
17,26
14,25.3
18,NA
16,27
NA,NA
15,25
15,26
17,23
15,25.4
14,24.7
15,24
17,23
17,NA
17,26
17,25
17,9.9
15,23.5
14,24
17,28
15,22.86
17,25
17,26
17,23.5
15,24
17,25
15,28
17,26
17,23
15,28
18,22
18,31
15,22
17,NA
15,25
15,24
15,22
17,NA
17,26
18,24
16,23
15,23.5
15,30
17,NA
16,NA
15,23
17,29
18,22
18,26
15,24
15,24
17,28
17,26
14,28
15,NA
15,28
18,25
17,30
15,25
17,8
14,21
17,23.8
17,22.5
17,26
17,28
17,27
16,26
15,25
16,24.13
15,27
17,22
16,24.8
17,21
17,23
16,24
18,26
16,25
14,25
15,21
17,24
18,NA
15,NA
13,23.5
15,26
17,28
17,25
17,27
16,NA
15,23.5
14,23
15,25
16,24
17,28
15,29
17,26
17,23
15,24.5
17,NA
15,23
