Height,Armspan
182,186
185.6,200
98,120
160,163
168,175
NA,NA
166,152
162.7,160
170,169
70,85
193,194
182.8,180
181,184
153,152
NA,NA
162,164
180.3,NA
68,75
190.5,203
186,198
182,182
183,NA
157.5,100
163,155
152,128
157,157
169,176
182,182
170,178
162.5,151.5
NA,NA
NA,NA
160,176
171,175
158,157
179,NA
158,154
173,164
NA,NA
161,163
163,154
149.9,148
155,160
160,155
168,160
160,140
NA,NA
160,159.5
NA,NA
157,154
176.7,NA
NA,NA
180,188
168,NA
158,157
175,175
NA,NA
185,183
182,199
158.4,154.9
169,165
172,167
183,183
165,152
168,173
175.3,177.8
164,169
NA,NA
160,160
157.4,NA
173,186
175,146
190.5,187
170,173
162,142
158,162
165,163
164,161
NA,160
NA,150.5
155,158
165.1,165.4
168,172
157.5,170
182,185.5
172.7,173
162,157
180,174
166.2,163
176,165
154.9,NA
167,167
NA,NA
170,162
NA,NA
157.4,157.4
162.6,NA
165,166
147,NA
169,169
170,169
197,176
170,180
157,142
170,180
143,NA
151,146
167,156
172.5,175
157.4,160
177,177
NA,NA
162,152
170,167
154,160
181,182
175,175
NA,102
165.1,165.1
179,177
NA,156
155,188
190.5,195
166,166.5
NA,NA
160,160
168,164
163,157
165,NA
176,NA
NA,161
170.2,171
NA,NA
176.5,181.6
165,170
170,175
120,120
161,162
163.5,160
187,171
149,149
176,NA
160,160
147,148
196,189
173,178
NA,NA
177.8,162
167.6,177.8
163,NA
183,185
178,174.5
NA,166
160,160
122,122
158,158
170.6,NA
170,178
160.2,162.5
160,148
170,170
182.8,NA
170.2,174
170,175
196,189
165,166
157,154
NA,NA
179,179
174,NA
177.8,175
183,182
177,174
172,NA
163,161
166,NA
176,176
160,160
167,170
171,172
163,NA
162,157
167.6,174
152.4,NA
172,NA
165.1,168
173,175
NA,NA
175.3,176
170.1,NA
165,159
168,178
170,175
162,140
172.7,139
180,178
165,166
NA,NA
165,153
193,195
177,170
178,NA
160,166
165,162
NA,NA
179,183
182.8,177.8
163,NA
186,183
165.1,146
157.48,NA
156,156
178,180
161,153
170.2,162
167,NA
171,169
188,188
NA,NA
162,160
NA,NA
175,170
171,173
165,122
154.9,NA
155,NA
177,NA
165.1,163
163,156
185.42,185.42
168,162
170,165
174,174
187,187
165,180
167,NA
169,165
160,158
149,145.5
167,156
177,184
165,161
155,151
NA,NA
160,160
170,156
182,195
160,163
170,173
183,183
162.5,163
144,148
160,160
NA,171
182.5,188
164,157
162.5,156.5
NA,163
NA,NA
130,133
177,180
NA,NA
175,177
167,160
162.5,120
174,170
162,157
150.495,151.892
180,NA
176,165
156,147
151,156
184,178
165,162
NA,NA
187.5,183
165,126
160.02,160.02
162,160
185,185
176,178
157.48,155
170,NA
165,171
180,180
172,NA
164,147
176,176
155,160
183.8,182
180,182
165,170
NA,NA
178,179
170.7,170.7
170,NA
160,170
165,155
NA,NA
172,165
157,157
163,NA
192.024,192
153,149
152.4,146
169,169
150,NA
330,175
170,173
167,168
160,164
152.4,NA
157.3,160
165,153
188,192
162,159
NA,NA
185,185
167,164
NA,NA
163,172
165,NA
184,181
160,160
200,200
179,181.5
175,173
170,176
175,173
163,156
170,180
160,155
162.56,NA
160,163
160,160
171,178
177,181
183,187
140,140
179,176
164,166
157.5,160
176,188
167,165.1
166,154
170,168
171,173
165,163
165,164
165,165
182.88,182.88
182,180
157,154
147.3,NA
175,200
75,154
181,184
172,170
NA,NA
190.5,190
150,159.5
173,172
183,192
162.5,175.26
178,185
165,162
177,180
157,150
150,154
165,162
152.4,148
162.56,160.02
NA,NA
NA,NA
NA,NA
152.4,155
192,192
166,156
160,155
180,175
181,177
168,160
NA,165
NA,NA
162,182.88
167.6,164.6
186,193
170,174
179,170
177.8,200.66
185,178
NA,NA
163,127
167,170
160.02,160.02
187,NA
162.56,167
NA,NA
175,155
160,154
NA,NA
162,167
165,170
161.3,NA
162.56,162.56
178,180
NA,NA
174,164
172,180
165.1,164
165,172.5
164,173.6
173,178
156,171
152.4,152.4
173,174
175,174
162.5,174
NA,170.18
163,165
187,179
152.4,149.8
188,170
172.7,170
158,152
172,165
183,181
183,180
172,160
165,160
170,200
176,180
177,167.5
155,NA
173,NA
176,180
170,169
156,162
NA,NA
178,182
167.6,151
167,167
157.4,160
173,155
172.7,NA
NA,NA
149.8,164
180,179
152.4,155
171,168
163,164
160,165
170,162
155,160
152,NA
185.4,190.5
186,186
152.4,165.1
177,175
172,160
155,155
176,170
165,170
162,150
163,163
185,182
168,170
180,188
176,187
152.4,NA
163,164
170,178
163,160
175.3,162
162,152
159,166
168,172
178,180.34
165,167
NA,NA
172,176
170,167
165.1,162
162.5,163
170,176
185,180
163,160
180.3,NA
171,NA
152.4,150
163,159
166,165
178,176
187,198
153,150
158,157
160,162
172,166
190,NA
158.5,163
